"正则","备注"
"[\(（](不是|bushi|误|雾|doge|dog)?[\)）]?$","括号星人（bushi"
"弹幕礼仪","你把咱大清的弹幕礼仪都给忘了！"
"^.{1,5}[!！]{2,}$","2个以上叹号结尾的短词，或许应该放饭圈区，通常是看到某些东西就走不动道，得彰显一下自己知道这东西"
"^借[你您]吉言$","借你吉言及其错别字"
"^[许还][愿原].{0,8}$","许愿某某事物"
"^吸+(欧气)?$","吸欧气|吸吸吸"
"^(献祭|祭献|用).+[换出抽].+","抽个奖马都不要了系列"
"^.{0,5}[已以]出(.?前来.｛1,3｝)?$","谁管你抽没抽到？"
"打在[公共工][屏平凭频]上?","古典派低能"
"^(显卡|[Cc][Pp][Uu])([：:].+|的香气)","常见于MC区"
"^您[？\?]?$","音游自卑人的最爱，诡异的汉字含义污染"
