"正则","备注"
"指尖跃动的电光|此生不变的信仰","你指尖跃动的电光，是我此生不变的信仰"
"^([红赤橙黄绿青蓝靛紫粉白灰黑彩棕金银]|[粉品]红)色?不能[断停]$",
